timestamp_s,pytorch_prob,unified_prob,difference,pytorch_time_s,unified_time_s,pytorch_rtfx,unified_rtfx,rtfx_speedup
0.016,0.023828577250242233,0.04193115234375,-0.018102575093507767,0.025930542033165693,8.600766664991776e-05,0.8103294385364279,0.00268773958280993,301.491053567496
0.048,0.011602124199271202,0.01461029052734375,-0.003008166328072548,0.006486915983259678,8.600766664991776e-05,0.20271612447686493,0.00268773958280993,75.4225319199016
0.08,0.008559810929000378,0.0094146728515625,-0.0008548619225621223,0.00010974996257573366,8.600766664991776e-05,0.003429686330491677,0.00268773958280993,1.2760485995098043
0.112,0.319193035364151,0.27001953125,0.049173504114151,9.304203558713198e-05,8.600766664991776e-05,0.0029075636120978743,0.00268773958280993,1.0817876965067155
0.144,0.9120181798934937,0.9072265625,0.004791617393493652,8.300004992634058e-05,8.600766664991776e-05,0.002593751560198143,0.00268773958280993,0.9650308299163695
0.176,0.9345493316650391,0.9326171875,0.0019321441650390625,8.150003850460052e-05,8.600766664991776e-05,0.0025468762032687664,0.00268773958280993,0.9475903914046999
0.208,0.933172345161438,0.93115234375,0.0020200014114379883,8.183298632502556e-05,8.600766664991776e-05,0.0025572808226570487,0.00268773958280993,0.9514615325877326
0.24,0.9304494857788086,0.931640625,-0.0011911392211914062,7.970805745571852e-05,8.600766664991776e-05,0.0024908767954912037,0.00268773958280993,0.9267552598556019
0.272,0.9581279754638672,0.958984375,-0.0008563995361328125,8.258293382823467e-05,8.600766664991776e-05,0.0025807166821323335,0.00268773958280993,0.9601810750706332
0.304,0.9465755224227905,0.9462890625,0.00028645992279052734,8.687505032867193e-05,8.600766664991776e-05,0.002714845322770998,0.00268773958280993,1.0100849576850486
0.336,0.9500294327735901,0.94970703125,0.0003224015235900879,7.854204159229994e-05,8.600766664991776e-05,0.002454438799759373,0.00268773958280993,0.9131981444397788
0.368,0.963527262210846,0.96337890625,0.00014835596084594727,7.874995935708284e-05,8.600766664991776e-05,0.002460936229908839,0.00268773958280993,0.9156155773603718
0.4,0.9689772725105286,0.96875,0.00022727251052856445,7.820804603397846e-05,8.600766664991776e-05,0.002444001438561827,0.00268773958280993,0.9093148213439325
0.432,0.9666323065757751,0.9658203125,0.0008119940757751465,7.816695142537355e-05,8.600766664991776e-05,0.0024427172320429236,0.00268773958280993,0.9088370196524602
0.464,0.9673560857772827,0.966796875,0.0005592107772827148,7.754203397780657e-05,8.600766664991776e-05,0.0024231885618064553,0.00268773958280993,0.9015711854319991
0.496,0.96109938621521,0.96044921875,0.0006501674652099609,7.762503810226917e-05,8.600766664991776e-05,0.0024257824406959116,0.00268773958280993,0.9025362636360209
0.528,0.9704218506813049,0.970703125,-0.00028127431869506836,7.929094135761261e-05,8.600766664991776e-05,0.002477841917425394,0.00268773958280993,0.9219055050098657
0.56,0.9785601496696472,0.97802734375,0.0005328059196472168,7.779209408909082e-05,8.600766664991776e-05,0.0024310029402840883,0.00268773958280993,0.9044786019568781
0.592,0.9715311527252197,0.9716796875,-0.00014853477478027344,8.841697126626968e-05,8.600766664991776e-05,0.0027630303520709276,0.00268773958280993,1.0280126727092675
0.624,0.9587255716323853,0.958984375,-0.0002588033676147461,8.90839146450162e-05,8.600766664991776e-05,0.002783872332656756,0.00268773958280993,1.0357671369881465
0.656,0.9360601902008057,0.9375,-0.001439809799194336,8.437503129243851e-05,8.600766664991776e-05,0.0026367197278887033,0.00268773958280993,0.9810175601655994
0.688,0.8909698128700256,0.89208984375,-0.0011200308799743652,7.725006435066462e-05,8.600766664991776e-05,0.0024140645109582692,0.00268773958280993,0.8981764923945705
0.72,0.9354915618896484,0.9375,-0.0020084381103515625,7.745902985334396e-05,8.600766664991776e-05,0.002420594682916999,0.00268773958280993,0.9006061072279774
0.752,0.977824866771698,0.97802734375,-0.00020247697830200195,7.708300836384296e-05,8.600766664991776e-05,0.0024088440113700926,0.00268773958280993,0.8962341540737133
0.784,0.9870191812515259,0.9873046875,-0.0002855062484741211,7.820804603397846e-05,8.600766664991776e-05,0.002444001438561827,0.00268773958280993,0.9093148213439325
0.816,0.9836025238037109,0.98388671875,-0.0002841949462890625,7.712491787970066e-05,8.600766664991776e-05,0.0024101536837406456,0.00268773958280993,0.8967214305862629
0.848,0.987500786781311,0.9873046875,0.00019609928131103516,7.712491787970066e-05,8.600766664991776e-05,0.0024101536837406456,0.00268773958280993,0.8967214305862629
0.88,0.977375328540802,0.97705078125,0.00032454729080200195,7.670896593481302e-05,8.600766664991776e-05,0.002397155185462907,0.00268773958280993,0.8918852111992086
0.912,0.9855803847312927,0.9853515625,0.0002288222312927246,7.712503429502249e-05,8.600766664991776e-05,0.0024101573217194527,0.00268773958280993,0.896722784132131
0.944,0.9821258783340454,0.98193359375,0.00019228458404541016,7.70840561017394e-05,8.600766664991776e-05,0.0024088767531793565,0.00268773958280993,0.896246335986527
0.976,0.9823783040046692,0.98291015625,-0.0005318522453308105,7.687509059906006e-05,8.600766664991776e-05,0.002402346581220627,0.00268773958280993,0.8938167211531203
1.008,0.9781466126441956,0.97802734375,0.00011926889419555664,7.67499441280961e-05,8.600766664991776e-05,0.0023984357540030032,0.00268773958280993,0.8923616593448126
1.04,0.9787895083427429,0.97900390625,-0.00021439790725708008,7.9666031524539e-05,8.600766664991776e-05,0.0024895634851418436,0.00268773958280993,0.9262666297971842
1.072,0.9869579672813416,0.986328125,0.0006298422813415527,7.691700011491776e-05,8.600766664991776e-05,0.00240365625359118,0.00268773958280993,0.8943039976656698
